ID	Avg	Min	Max	SDev	Eps	ID	Avg	Min	Max	SDev	Eps
TapeLeft	-13,32	-13,94	-12,53	0,34	1,00	TapeLeft	-15,70	-16,38	-14,84	0,37	0,95
TapeRight	-13,45	-13,81	-13,13	0,14	1,00	TapeRight	-15,85	-16,24	-15,50	0,15	0,95
SprayLeft	-15,56	-15,87	-15,22	0,12	1,00	SprayLeft	-18,15	-18,49	-17,78	0,13	0,95
SprayRight	-15,47	-16,21	-14,61	0,39	1,00	SprayRight	-18,05	-18,86	-17,12	0,43	0,95
SprayCentre	-15,41	-15,68	-15,15	0,11	1,00	SprayCentre	-17,99	-18,28	-17,71	0,12	0,95
TapeCentre	-14,15	-14,81	-13,65	0,20	1,00	TapeCentre	-16,61	-17,33	-16,07	0,22	0,95
SiTopLeft	-14,07	-14,25	-13,88	0,10	1,00	SiTopLeft	-16,53	-16,73	-16,32	0,10	0,95
SiTopRight	-13,26	-13,60	-12,96	0,15	1,00	SiTopRight	-15,64	-16,01	-15,31	0,16	0,95
SiMiddleLeft	-14,40	-14,54	-14,22	0,07	1,00	SiMiddleLeft	-16,89	-17,04	-16,69	0,08	0,95
SiMiddleRight	-13,65	-13,94	-13,40	0,11	1,00	SiMiddleRight	-16,06	-16,38	-15,79	0,12	0,95
SiBottomLeft	-14,17	-14,31	-13,99	0,08	1,00	SiBottomLeft	-16,64	-16,79	-16,44	0,08	0,95
SiBottomRight	-13,21	-13,76	-7,67	0,91	1,00	SiBottomRight	-15,58	-16,19	-9,57	0,99	0,95
											
											
															
