ID	Avg	Min	Max	SDev	Eps	ID	Avg	Min	Max	SDev	Eps
TapeLeft	-13,27	-13,92	-12,42	0,35	1,00	TapeLeft	-15,62	-16,33	-14,69	0,38	0,95
TapeRight	-13,58	-13,98	-13,12	0,18	1,00	TapeRight	-15,96	-16,40	-15,46	0,20	0,95
SprayLeft	-15,69	-16,00	-15,14	0,15	1,00	SprayLeft	-18,26	-18,60	-17,67	0,16	0,95
SprayRight	-15,58	-16,26	-14,75	0,37	1,00	SprayRight	-18,14	-18,89	-17,23	0,40	0,95
SprayCentre	-15,50	-15,79	-15,16	0,12	1,00	SprayCentre	-18,06	-18,37	-17,68	0,13	0,95
TapeCentre	-14,19	-14,81	-13,60	0,23	1,00	TapeCentre	-16,62	-17,30	-15,98	0,25	0,95
SiTopLeft	-14,22	-14,45	-13,98	0,10	1,00	SiTopLeft	-16,66	-16,91	-16,40	0,11	0,95
SiTopRight	-13,43	-13,73	-13,15	0,14	1,00	SiTopRight	-15,80	-16,13	-15,49	0,16	0,95
SiMiddleLeft	-14,59	-14,78	-14,33	0,09	1,00	SiMiddleLeft	-17,06	-17,27	-16,78	0,09	0,95
SiMiddleRight	-13,81	-14,10	-13,47	0,13	1,00	SiMiddleRight	-16,21	-16,53	-15,84	0,14	0,95
SiBottomLeft	-14,34	-14,49	-14,18	0,07	1,00	SiBottomLeft	-16,79	-16,95	-16,61	0,08	0,95
SiBottomRight	-13,37	-13,96	-8,15	0,90	1,00	SiBottomRight	-15,73	-16,38	-10,05	0,98	0,95
