ID	Avg	Min	Max	SDev	Eps	ID	Avg	Min	Max	SDev	Eps
TapeLeft	14,89	14,75	15,02	0,05	1,00	TapeLeft	14,61	14,47	14,75	0,05	0,95
TapeRight	14,93	14,83	15,03	0,03	1,00	TapeRight	14,66	14,55	14,76	0,04	0,95
SprayLeft	14,70	14,60	14,81	0,04	1,00	SprayLeft	14,41	14,31	14,53	0,04	0,95
SprayRight	14,72	14,60	14,84	0,05	1,00	SprayRight	14,43	14,31	14,56	0,05	0,95
SprayCentre	14,67	14,60	14,75	0,03	1,00	SprayCentre	14,38	14,31	14,47	0,03	0,95
TapeCentre	14,81	14,72	14,92	0,04	1,00	TapeCentre	14,53	14,43	14,64	0,04	0,95
SiTopLeft	14,87	14,81	14,93	0,02	1,00	SiTopLeft	14,59	14,53	14,65	0,03	0,95
SiTopRight	14,95	14,86	15,06	0,04	1,00	SiTopRight	14,67	14,58	14,80	0,04	0,95
SiMiddleLeft	14,83	14,77	14,89	0,02	1,00	SiMiddleLeft	14,55	14,49	14,61	0,03	0,95
SiMiddleRight	14,90	14,83	15,00	0,03	1,00	SiMiddleRight	14,62	14,55	14,73	0,03	0,95
SiBottomLeft	14,87	14,80	14,95	0,03	1,00	SiBottomLeft	14,59	14,52	14,67	0,03	0,95
SiBottomRight	14,98	14,89	15,62	0,11	1,00	SiBottomRight	14,71	14,61	15,38	0,12	0,95
