ID	Avg	Min	Max	SDev	Eps	ID	Avg	Min	Max	SDev	Eps
TapeLeft	-13,49	-14,16	-12,59	0,37	1,00	TapeLeft	-15,92	-16,66	-14,94	0,40	0,95
TapeRight	-13,43	-13,98	-13,07	0,19	1,00	TapeRight	-15,87	-16,47	-15,47	0,21	0,95
SprayLeft	-15,97	-16,27	-15,63	0,13	1,00	SprayLeft	-18,64	-18,97	-18,27	0,14	0,95
SprayRight	-15,84	-16,60	-14,91	0,41	1,00	SprayRight	-18,50	-19,34	-17,48	0,45	0,95
SprayCentre	-15,76	-16,05	-15,42	0,13	1,00	SprayCentre	-18,41	-18,73	-18,04	0,14	0,95
TapeCentre	-14,33	-15,06	-13,74	0,25	1,00	TapeCentre	-16,84	-17,64	-16,20	0,27	0,95
SiTopLeft	-14,29	-14,50	-14,00	0,11	1,00	SiTopLeft	-16,80	-17,03	-16,48	0,12	0,95
SiTopRight	-13,44	-13,83	-13,13	0,17	1,00	SiTopRight	-15,88	-16,30	-15,53	0,18	0,95
SiMiddleLeft	-14,65	-14,80	-14,39	0,09	1,00	SiMiddleLeft	-17,19	-17,36	-16,91	0,10	0,95
SiMiddleRight	-13,86	-14,16	-13,59	0,13	1,00	SiMiddleRight	-16,33	-16,66	-16,04	0,14	0,95
SiBottomLeft	-14,39	-14,58	-14,18	0,08	1,00	SiBottomLeft	-16,91	-17,12	-16,68	0,09	0,95
SiBottomRight	-13,35	-13,97	-7,78	0,94	1,00	SiBottomRight	-15,77	-16,45	-9,73	1,02	0,95
